#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
1519940	79923	2874	123000	109132	-	-	NANOG	GPS2	-	AMF-1	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519941	79923	83903	123000	123814	-	-	NANOG	GSG2	-	HASPIN	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519942	79923	9330	123000	114739	-	-	NANOG	GTF3C3	-	TFIIIC102|TFIIICgamma|TFiiiC2-102	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519943	79923	9329	123000	114738	-	-	NANOG	GTF3C4	-	KAT12|TFIII90|TFIIIC290|TFIIIC90|TFIIICDELTA	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519944	79923	139324	123000	126559	-	RP6-162O13.1	NANOG	HDX	-	CXorf43|D030011N01Rik	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519945	79923	6596	123000	112480	-	-	NANOG	HLTF	-	HIP116|HIP116A|HLTF1|RNF80|SMARCA3|SNF2L3|ZBU1	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519946	79923	3159	123000	109402	-	RP11-513I15.2	NANOG	HMGA1	-	HMG-R|HMGA1A|HMGIY	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519947	79923	3188	123000	109429	-	-	NANOG	HNRNPH2	-	FTP3|HNRPH|HNRPH2|hnRNPH	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519948	79923	221092	123000	128685	-	-	NANOG	HNRNPUL2	-	HNRPUL2|SAF-A2	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519949	79923	9987	123000	115308	-	-	NANOG	HNRNPDL	-	HNRNP|HNRPDL|JKTBP|JKTBP2|LGMD1G|laAUF1	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519950	79923	3273	123000	109509	-	-	NANOG	HRG	-	HPRG|HRGP|THPH11	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519951	79923	3312	123000	109544	-	-	NANOG	HSPA8	-	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519952	79923	3313	123000	109545	-	-	NANOG	HSPA9	-	CRP40|CSA|GRP-75|GRP75|HEL-S-124m|HSPA9B|MOT|MOT2|MTHSP75|PBP74	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519953	79923	10075	123000	115385	-	RP3-339A18.4	NANOG	HUWE1	-	ARF-BP1|HECTH9|HSPC272|Ib772|LASU1|MULE|URE-B1|UREB1	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519954	79923	25998	123000	117474	-	RP1-93K22.1	NANOG	IBTK	-	BTBD26|BTKI	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519955	79923	3608	123000	109821	-	RP11-354A16.1	NANOG	ILF2	-	NF45|PRO3063	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519956	79923	3621	123000	109833	-	RP11-8D7.1	NANOG	ING1	-	p24ING1c|p33|p33ING1|p33ING1b|p47|p47ING1a	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519957	79923	3622	123000	109834	-	-	NANOG	ING2	-	ING1L|p33ING2	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519958	79923	10526	123000	115781	-	-	NANOG	IPO8	-	RANBP8	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519959	79923	3710	123000	109915	-	-	NANOG	ITPR3	-	IP3R|IP3R3	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519960	79923	3720	123000	109923	-	-	NANOG	JARID2	-	JMJ	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519961	79923	84678	123000	124197	-	-	NANOG	KDM2B	-	CXXC2|FBXL10|Fbl10|JHDM1B|PCCX2	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519962	79923	8570	123000	114139	-	-	NANOG	KHSRP	-	FBP2|FUBP2|KSRP	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519963	79923	57805	123000	121775	-	-	NANOG	CCAR2	-	DBC-1|DBC1|KIAA1967|NET35|p30 DBC|p30DBC	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519964	79923	9585	123000	114953	-	-	NANOG	KIF20B	-	CT90|KRMP1|MPHOSPH1|MPP-1|MPP1	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519965	79923	23592	123000	117127	-	-	NANOG	LEMD3	-	MAN1	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519966	79923	25875	123000	117390	-	-	NANOG	LETMD1	-	1110019O13Rik|HCCR-1|HCCR-2|HCCR1|HCRR-2	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519967	79923	55692	123000	120818	-	LA16c-OS12.1	NANOG	LUC7L	-	LUC7-LIKE|LUC7B1|Luc7|SR+89|hLuc7B1	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519968	79923	9500	123000	114879	-	PRO2292	NANOG	MAGED1	-	DLXIN-1|NRAGE	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519969	79923	53615	123000	119788	-	-	NANOG	MBD3	-	-	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519970	79923	64087	123000	122050	-	-	NANOG	MCCC2	-	MCCB	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519971	79923	4171	123000	110339	-	-	NANOG	MCM2	-	BM28|CCNL1|CDCL1|D3S3194|MITOTIN|cdc19	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519972	79923	8079	123000	113752	-	-	NANOG	MLF2	-	NTN4	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519973	79923	4361	123000	110501	-	-	NANOG	MRE11A	-	ATLD|HNGS1|MRE11|MRE11B	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519974	79923	51253	123000	119410	-	HSPC235	NANOG	MRPL37	-	L37mt|MRP-L2|MRP-L37|MRPL2|RPML2	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519975	79923	740	123000	107199	-	OK/SW-cl.67	NANOG	MRPL49	-	C11orf4|L49mt|MRP-L49|NOF|NOF1	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519976	79923	65005	123000	122370	-	RP11-98D18.5	NANOG	MRPL9	-	L9mt	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519977	79923	10240	123000	115534	-	-	NANOG	MRPS31	-	IMOGN38|MRP-S31|S31mt	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519978	79923	60488	123000	121919	-	HDCMD11P	NANOG	MRPS35	-	MDS023|MRP-S28|MRPS28	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519979	79923	64968	123000	122361	-	-	NANOG	MRPS6	-	C21orf101|MRP-S6|RPMS6|S6mt	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
