#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
470162	27224	64290	205145	211052	RP23-161N17.12-001	-	Tceb3	Foxb1	110kDa|AA408125|Tceb3a	C43|Fkh5|Foxb1a|Foxb1b|Hfh-e5.1|Mf3|Twh	Two-hybrid	physical	Ravasi T (2010)	20211142	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
560282	235497	27224	231671	205145	-	RP23-161N17.12-001	Leo1	Tceb3	Gm185	110kDa|AA408125|Tceb3a	Affinity Capture-MS	physical	Ding L (2009)	19345177	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
612271	27224	20020	205145	202996	RP23-161N17.12-001	-	Tceb3	Polr2a	110kDa|AA408125|Tceb3a	220kDa|Rpb1|Rpo2-1	Affinity Capture-Western	physical	Yasukawa T (2008)	19037258	10090	10090	Low Throughput	-	-	-	The Elongin A Elongin BC complex assembles with a Cul5/Rbx2 module to reconstitute a ubiquitin ligase of Rpb1 in vitro	-	BIOGRID
2680096	66932	27224	211819	205145	-	RP23-161N17.12-001	Rexo1	Tceb3	1700021P10Rik|2610511M11Rik|AW050347|EloA-BP1|Tceb3bp1	110kDa|AA408125|Tceb3a	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.912	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2680097	78889	27224	219684	205145	-	RP23-161N17.12-001	Wsb1	Tceb3	1110056B13Rik|2700038M07Rik	110kDa|AA408125|Tceb3a	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.998	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2901638	11537	27224	197991	205145	-	RP23-161N17.12-001	Cfd	Tceb3	Adn|DF	110kDa|AA408125|Tceb3a	Affinity Capture-MS	physical	Kim H (2018)	30550785	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
2902134	384061	27224	239035	205145	RP23-284L6.4	RP23-161N17.12-001	Fndc5	Tceb3	1500001L03Rik|AI836596|C87088|PeP|Pxp	110kDa|AA408125|Tceb3a	Affinity Capture-MS	physical	Kim H (2018)	30550785	10090	10090	High Throughput	-	-	-	-	-	BIOGRID

