#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
3734264	203228	23071	128456	116704	-	UNQ532/PRO1075	C9orf72	ERP44	ALSFTD|FTDALS	PDIA10|TXNDC4	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734265	203228	10005	128456	115323	-	RP3-337O18.2	C9orf72	ACOT8	ALSFTD|FTDALS	HNAACTE|PTE-1|PTE-2|PTE1|PTE2|hACTE-III|hTE	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734266	203228	8813	128456	114340	-	RP5-914P20.2	C9orf72	DPM1	ALSFTD|FTDALS	CDGIE|MPDS	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734267	203228	5516	128456	111508	-	-	C9orf72	PPP2CB	ALSFTD|FTDALS	PP2Abeta|PP2CB	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734268	203228	6203	128456	112117	-	XXbac-BCX105G6.6	C9orf72	RPS9	ALSFTD|FTDALS	S9	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734269	203228	11130	128456	116303	-	-	C9orf72	ZWINT	ALSFTD|FTDALS	HZwint-1|KNTC2AP|ZWINT1	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734270	203228	10521	128456	115776	-	RP3-434P1.1	C9orf72	DDX17	ALSFTD|FTDALS	P72|RH70	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734271	203228	7965	128456	113684	-	PRO0992	C9orf72	AIMP2	ALSFTD|FTDALS	JTV-1|JTV1|P38	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734272	203228	51251	128456	119408	-	HSPC233	C9orf72	NT5C3A	ALSFTD|FTDALS	NT5C3|P5N-1|P5N-1|PN-I|POMP|PSN1|UMPH|UMPH1|cN-III|hUMP1|p36	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734273	203228	8471	128456	114048	-	-	C9orf72	IRS4	ALSFTD|FTDALS	IRS-4|PY160	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734274	203228	60493	128456	121924	-	-	C9orf72	FASTKD5	ALSFTD|FTDALS	dJ1187M17.5	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734275	203228	5162	128456	111188	-	-	C9orf72	PDHB	ALSFTD|FTDALS	PDHBD|PDHE1-B|PHE1B	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734276	203228	10549	128456	115800	-	-	C9orf72	PRDX4	ALSFTD|FTDALS	AOE37-2|AOE372|HEL-S-97n|PRX-4	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734277	203228	817	128456	107267	-	-	C9orf72	CAMK2D	ALSFTD|FTDALS	CAMKD	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734278	203228	6950	128456	112810	-	-	C9orf72	TCP1	ALSFTD|FTDALS	CCT-alpha|CCT1|CCTa|D6S230E|TCP-1-alpha	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734279	203228	2746	128456	109008	-	-	C9orf72	GLUD1	ALSFTD|FTDALS	GDH|GDH1|GLUD	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
