#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
2499251	842613	823706	27834	9026	AT1G63100	AT3G45640	AT1G63100	MPK3	F16M19.21|F16M19_21	ATMAPK3|ATMPK3|T6D9.4|mitogen-activated protein kinase 3	Biochemical Activity	physical	Popescu SC (2009)	19095804	3702	3702	High Throughput	-	Phosphorylation	-	-	-	BAR
2499361	842613	818982	27834	4318	AT1G63100	AT2G43790	AT1G63100	MPK6	F16M19.21|F16M19_21	ATMAPK6|ATMPK6|F18O19.10|MAP KINASE 6|MAPK6	Biochemical Activity	physical	Popescu SC (2009)	19095804	3702	3702	High Throughput	-	Phosphorylation	-	-	-	BAR
2499691	842613	828151	27834	13440	AT1G63100	AT4G01370	AT1G63100	MPK4	F16M19.21|F16M19_21	ATMPK4|F2N1.1|F2N1_1|MAP kinase 4	Biochemical Activity	physical	Popescu SC (2009)	19095804	3702	3702	High Throughput	-	Phosphorylation	-	-	-	BAR
2499888	842613	816330	27834	1687	AT1G63100	AT2G18170	AT1G63100	MPK7	F16M19.21|F16M19_21	ATMPK7|F8D23.5|F8D23_5|MAP kinase 7	Biochemical Activity	physical	Popescu SC (2009)	19095804	3702	3702	High Throughput	-	Phosphorylation	-	-	-	BAR
2499954	842613	825148	27834	10462	AT1G63100	AT3G59790	AT1G63100	MPK10	F16M19.21|F16M19_21	ATMPK10|MAP kinase 10	Biochemical Activity	physical	Popescu SC (2009)	19095804	3702	3702	High Throughput	-	Phosphorylation	-	-	-	BAR
2499960	842613	837559	27834	22799	AT1G63100	AT1G10210	AT1G63100	MPK1	F16M19.21|F16M19_21	ATMPK1|F14N23.9|F14N23_9|MITOGEN-ACTIVATED PROTEIN KINASE|mitogen-activated protein kinase 1	Biochemical Activity	physical	Popescu SC (2009)	19095804	3702	3702	High Throughput	-	Phosphorylation	-	-	-	BAR
2499983	842613	842248	27834	27473	AT1G63100	AT1G59580	AT1G63100	MPK2	F16M19.21|F16M19_21	ATMPK2|MITOGEN-ACTIVATED PROTEIN KINASE HOMOLOG 2|T30E16.13|T30E16_13	Biochemical Activity	physical	Popescu SC (2009)	19095804	3702	3702	High Throughput	-	Phosphorylation	-	-	-	BAR

